Project_name,Tool_name,CWE_ID,Number_of_Findings,Is_In_CWE_Top_25
chalice,bandit,78,14,No
chalice,bandit,703,2012,No
chalice,bandit,327,6,No
chalice,bandit,22,2,No
chalice,bandit,400,4,No
chalice,bandit,259,17,No
chalice,bandit,377,2,No
chalice,bandit,605,9,No
chalice,bandit,732,2,No
chalice,codeql,CWE-532,1,No
chalice,semgrep,CWE-22,1,Yes
chalice,semgrep,CWE-321,1,No
gpt-researcher,bandit,703,30,No
gpt-researcher,bandit,330,7,No
gpt-researcher,bandit,78,4,No
gpt-researcher,bandit,89,2,No
gpt-researcher,bandit,400,7,No
gpt-researcher,bandit,20,3,No
gpt-researcher,bandit,502,2,No
gpt-researcher,bandit,327,1,No
gpt-researcher,bandit,605,1,No
gpt-researcher,codeql,CWE-22,9,Yes
gpt-researcher,codeql,CWE-532,1,No
gpt-researcher,semgrep,CWE-942,1,No
gpt-researcher,semgrep,CWE-250,1,No
gpt-researcher,semgrep,CWE-319,4,No
gpt-researcher,semgrep,CWE-352,1,Yes
gpt-researcher,semgrep,CWE-353,3,No
gpt-researcher,semgrep,CWE-79,7,Yes
gpt-researcher,semgrep,CWE-134,1,No
gpt-researcher,semgrep,CWE-706,1,No
gpt-researcher,semgrep,CWE-502,2,Yes
pythonrobotics,bandit,330,54,No
pythonrobotics,bandit,20,2,No
pythonrobotics,bandit,22,1,No
pythonrobotics,bandit,703,157,No
pythonrobotics,bandit,78,10,No
pythonrobotics,semgrep,CWE-939,1,No
pythonrobotics,semgrep,CWE-353,1,No
